board_id,fpga,programmer,description
alchitry-cu,ice40hx8k-cb132,iceprog,"Alchitry Cu Development Board"
alhambra-ii,ice40hx4k-tq144-8k,openfpgaloader,"Alhambra II"
arice1,ice40up5k-sg48,iceprog,"ARiCE v1"
blackice,ice40hx4k-tq144-8k,blackiceprog,"BlackIce"
blackice-ii,ice40hx4k-tq144-8k,blackiceprog,"BlackIce II"
blackice-mx,ice40hx4k-tq144-8k,blackiceprog,"BlackIce MX"
brs-100-gw1nr9,gw1nr-lv9qn88pc6-i5,openfpgaloader,"Brisbane Silicon 9k"
butterstick-r10-2g-85k,lfe5um5g-85f-8bg381c,dfu,"butterstick r1.0 DFU"
butterstick-r10-2g-85k-ft2232h,lfe5um5g-85f-8bg381c,openfpgaloader,"butterstick r1.0 FT2232H"
butterstick-r10-2g-85k-ft232h,lfe5um5g-85f-8bg381c,openfpgaloader,"butterstick r1.0 FT232H"
colorlight-5a-75b-v61,lfe5u-25f-6bg381c,openfpgaloader,"ColorLight-5A-75B-V61"
colorlight-5a-75b-v7,lfe5u-25f-6bg256c,openfpgaloader,"ColorLight-5A-75B-V7"
colorlight-5a-75b-v8,lfe5u-25f-6bg256c,openfpgaloader,"ColorLight-5A-75B-V8"
colorlight-5a-75e-v6,lfe5u-25f-6bg256c,openfpgaloader,"ColorLight-5A-75E-V6"
colorlight-5a-75e-v71-ft2232h,lfe5u-25f-6bg256c,openfpgaloader,"ColorLight-5A-75E-V71"
colorlight-5a-75e-v71-ft232h,lfe5u-25f-6bg256c,openfpgaloader,"ColorLight-5A-75E-V71"
colorlight-5a-75e-v71-usb-blaster,lfe5u-25f-6bg256c,openfpgaloader,"ColorLight-5A-75E-V71"
colorlight-i5-v7-0,lfe5u-25f-6bg381c,openfpgaloader,"ColorLight-i5"
colorlight-i5-v7-0-ram,lfe5u-25f-6bg381c,openfpgaloader,"ColorLight-i5 (RAM)"
colorlight-i9-v7-2-cmsis-dap,lfe5u-45f-6bg381c,openfpgaloader,"ColorLight-i9"
colorlight-i9-v7-2-ft2232h,lfe5u-45f-6bg381c,openfpgaloader,"ColorLight-i9"
colorlight-i9-v7-2-ft232h,lfe5u-45f-6bg381c,openfpgaloader,"ColorLight-i9"
colorlight-i9-v7-2-usb-blaster,lfe5u-45f-6bg381c,openfpgaloader,"ColorLight-i9"
cynthion-r1-4,lfe5u-12f-6bg256c,apollo,"Cynthion r1.4"
ecp5-evaluation-board,lfe5um5g-85f-8bg381c,openfpgaloader,"ECP5-Evaluation-Board"
ecp5-mini-12,lfe5u-12f-6bg256c,openfpgaloader,"ECP5-Mini-12"
ecp5-mini-25,lfe5u-25f-6bg256c,openfpgaloader,"ECP5-Mini-12"
edu-ciaa-fpga,ice40hx4k-tq144-8k,iceprog,"EDU-CIAA-FPGA"
fleafpga-ohm-ft2232h,lfe5u-25f-6bg381c,openfpgaloader,"FleaFPGA-Ohm_(FT2232H)"
fleafpga-ohm-ft232h,lfe5u-25f-6bg381c,openfpgaloader,"FleaFPGA-Ohm_(FT232H)"
fleafpga-ohm-usb-blaster,lfe5u-25f-6bg381c,openfpgaloader,"FleaFPGA-Ohm_(USB-Blaster)"
fomu,ice40up5k-uwg30,dfu,"Fomu"
fpga101,ice40up5k-sg48,iceprog,"FPGA 101 - Workshop Badge"
go-board,ice40hx1k-vq100,iceprog,"The Go Board"
ice40-hx1k-evb,ice40hx1k-vq100,iceprogduino,"ICE40HX1K-EVB"
ice40-hx8k,ice40hx8k-ct256,iceprog,"iCE40-HX8K Breakout Board"
ice40-hx8k-evb,ice40hx8k-ct256,iceprogduino,"iCE40HX8K-EVB"
ice40-ul1k-breakout,ice40ul1k-cm36a,iceprog,"iCE40-UL1K UltraLite Breakout"
ice40-up5k,ice40up5k-sg48,iceprog,"iCE40 UltraPlus Breakout"
iceblink40-hx1k,ice40hx1k-vq100,iceburn,"iCEblink40-HX1K Eval Kit"
icebreaker,ice40up5k-sg48,iceprog,"iCEBreaker"
icebreaker-bitsy0,ice40up5k-sg48,dfu,"iCEBreaker bitsy"
icebreaker-bitsy1,ice40up5k-sg48,dfu,"iCEBreaker bitsy"
icefun,ice40hx8k-cb132,icefunprog,"iceFUN"
icenode,ice40up5k-sg48,iceprog,"ICENode"
icepi-zero,lfe5u-25f-6bg256c,openfpgaloader,"Icepi Zero"
icestick,ice40hx1k-tq144,iceprog,"iCEstick Eval Kit"
icesugar-1-5,ice40up5k-sg48,icesprog,"iCESugar v1.5"
icesugar-nano,ice40lp1k-cm36,icesprog,"iCESugar-nano"
icesugar-pro,lfe5u-25f-6bg256c,openfpgaloader,"Icesugar Pro"
icesugar-pro-ram,lfe5u-25f-6bg256c,openfpgaloader,"Icesugar Pro (RAM)"
icewerx,ice40hx8k-cb132,icefunprog,"iceWerx"
icezum,ice40hx1k-tq144,iceprog,"Icezum Alhambra"
kefir,ice40hx4k-tq144-8k,iceprog,"Kéfir I iCE40-HX4K"
mimas-ecp5-mini,lfe5u-45f-6bg256c,openfpgaloader,"Mimas ECP5 Mini"
odt-icyblue-feather,ice5lp4k-sg48,icesprog,"ODT_IcyBlue_Feather"
ok-ice40pro,ice40up5k-sg48,iceprog,"OK-iCE40Pro"
orangecrab-r02-25f,lfe5u-25f-6mg285c,dfu,"OrangeCrab r0.2 25K"
orangecrab-r02-85f,lfe5u-85f-6mg285c,dfu,"OrangeCrab r0.2 85K"
pi-sicle,ice40hx4k-tq144-8k,pi-sicle-loader,"Pi-sicle"
pico-ice,ice40up5k-sg48,dfu,"pico-ice"
sipeed-tang-nano,gw1n-lv1qn48c6-i5,openfpgaloader,"Sipeed Tang Nano"
sipeed-tang-nano-1k,gw1nz-lv1qn48c6-i5,openfpgaloader,"Sipeed Tang Nano 1k"
sipeed-tang-nano-20k,gw2ar-lv18qn88c8-i7,openfpgaloader,"Sipeed Tang Nano 20k"
sipeed-tang-nano-4k,gw1nsr-lv4cqn48pc7-i6,openfpgaloader,"Sipeed Tang Nano 4k"
sipeed-tang-nano-9k,gw1nr-lv9qn88pc6-i5,openfpgaloader,"Sipeed Tang Nano 9k"
soan-papdi,ice40up5k-sg48,dfu,"Soan-Papdi"
thetamachines-eth4k,ice40hx4k-tq144-8k,iceprog,"Theta Machines ETH4K"
tinyfpga-b2,ice40lp8k-cm81,tinyfpgab,"TinyFPGA B2"
tinyfpga-bx,ice40lp8k-cm81,tinyprog,"TinyFPGA BX"
tinyfpga-ex-rev1,lfe5u-85f-6mg285c,tinyprog,"TinyFPGA EX rev 1"
